name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2024-04-18,62.1,52.2,56.8,62.1,52.2,56.8,50,79.8,0.113,100,8.33,rain,0,0,23.5,13.1,273.8,1020.7,86.6,7.8,66,5.7,4,10,2024-04-18T06:49:29,2024-04-18T17:49:01,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94860099999,94898099999,95874099999,94866099999,95867099999,C7520,95936099999,95866099999,94865099999,94872099999,94864099999,94870099999"
melbourne,2024-04-19,63.7,53.6,58.1,63.7,53.6,58.1,52.4,81.9,0.215,100,4.17,rain,0,0,24.6,9.4,198.7,1022.1,66.5,9.3,115.8,10,7,10,2024-04-19T06:50:23,2024-04-19T17:47:41,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"94860099999,95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94872099999,94864099999,94870099999"
melbourne,2024-04-20,62,47.2,54.2,62,47.2,54.2,48.4,82.4,0.007,100,4.17,rain,0,0,21.3,8.4,200.5,1029.9,53.6,10.6,109.5,9.5,6,10,2024-04-20T06:51:18,2024-04-20T17:46:22,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"94860099999,95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94872099999,94864099999,94870099999"
melbourne,2024-04-21,61.3,48.8,54.8,61.3,48.8,54.8,47.6,77.6,0,0,0,,0,0,13.9,6.1,192.2,1030.3,51.2,10.7,116.2,10.1,6,10,2024-04-21T06:52:12,2024-04-21T17:45:03,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-04-22,75,43.8,57.9,75,40.9,57.3,44.9,67.2,0,0,0,,0,0,19,10.3,11.2,1025.6,21.6,9,159,13.7,6,10,2024-04-22T06:53:07,2024-04-22T17:43:46,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94860099999,95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94872099999,94864099999,94870099999"
melbourne,2024-04-23,76.2,52.7,65.1,76.2,52.7,65.1,44.2,48.8,0,0,0,,0,0,30.4,13.9,356,1017.4,58.9,10.4,143.8,12.4,6,10,2024-04-23T06:54:01,2024-04-23T17:42:29,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-04-24,60.8,51.4,54.9,60.8,51.4,54.9,45.1,70.3,0.228,100,12.5,rain,0,0,30.6,13.2,247.4,1021.5,63.1,9.7,105.2,9.1,5,10,2024-04-24T06:54:56,2024-04-24T17:41:13,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-04-25,59.8,51.7,55.7,59.8,51.7,55.7,46.1,70.6,0.014,100,4.17,rain,0,0,27.3,16.9,239.6,1024.5,78.6,10.2,75,6.7,3,10,2024-04-25T06:55:50,2024-04-25T17:39:59,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"YMAV,95874099999,94866099999,C7520,95936099999,94895599999,95866099999,94865099999,YMML,94864099999"
melbourne,2024-04-26,59.1,54.2,56.2,59.1,54.2,56.2,44.6,65.1,0.002,100,4.17,rain,0,0,20.6,7.2,226.9,1026.2,88.4,10.3,63.5,5.5,3,10,2024-04-26T06:56:45,2024-04-26T17:38:45,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-04-27,63.3,48.7,55.8,63.3,48.6,55.8,46.6,72.2,0,0,0,,0,0,10.1,7.2,224,1025.9,52.9,11.8,123,10.7,6,10,2024-04-27T06:57:39,2024-04-27T17:37:32,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-04-28,71.9,46.2,57.5,71.9,44,57.1,45.6,68.5,0,0,0,,0,0,26.8,11.7,359.6,1021.9,68.3,11.4,146.5,12.6,6,10,2024-04-28T06:58:33,2024-04-28T17:36:20,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-04-29,60.7,52.6,57.6,60.7,52.6,57.6,45.4,63.9,0,0,0,rain,0,0,21,8.4,189.3,1023.4,91.9,9.4,33.9,2.9,2,10,2024-04-29T06:59:28,2024-04-29T17:35:10,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
